@relation Dataset_T2_16d_PCA_BIN-weka.filters.unsupervised.attribute.NumericToNominal-Rlast

@attribute V1 numeric
@attribute V2 numeric
@attribute V3 numeric
@attribute V4 numeric
@attribute V5 numeric
@attribute V6 numeric
@attribute V7 numeric
@attribute V8 numeric
@attribute V9 numeric
@attribute V10 numeric
@attribute V11 numeric
@attribute V12 numeric
@attribute V13 numeric
@attribute V14 numeric
@attribute V15 numeric
@attribute V16 numeric
@attribute label {0,1}

@data
0.249166,0.736618,0.394504,0.266052,0.354385,0.25509,0.520776,0.631815,0.584819,0.286767,0.959904,0.578895,0.480153,0.412277,0.679005,0.404843,1
0.211816,0.639104,0.275546,0.445675,0.241335,0.355847,0.445095,0.59275,0.356801,0.307558,0.7622,0.631611,0.658159,0.365852,0.610583,0.246818,1
0.182798,0.583899,0.314143,0.372677,0.219438,0.376991,0.481382,0.647395,0.359372,0.361583,0.606816,0.827694,0.704969,0.652878,0.652989,0.542024,1
0.137028,0.517156,0.345027,0.320281,0.229138,0.46934,0.444999,0.271577,0.55211,0.341589,0.403074,0.698527,0.529942,0.336686,0.612657,0.392009,1
0.380426,0.893154,0.395947,0.326317,0.36503,0.308546,0.402497,0.512794,0.528659,0.313914,0.877797,0.516954,0.536945,0.47547,0.535455,0.273858,0
0.339306,0.837091,0.34772,0.391137,0.311708,0.238463,0.548364,0.362207,0.496501,0.451321,0.771104,0.690019,0.33541,0.481398,0.49625,0.322825,0
0.289036,0.800374,0.279075,0.449929,0.442159,0.046464,0.450291,0.500693,0.46913,0.669398,0.651595,0.576143,0.344792,0.377467,0.589468,0.285287,0
0.261416,0.793486,0.309634,0.405893,0.477913,0.129791,0.516383,0.554916,0.580119,0.810717,0.703038,0.480152,0.473776,0.365283,0.615572,0.631722,0
0.253565,0.749696,0.408325,0.23797,0.470366,0.14237,0.479637,0.589288,0.50214,0.571146,0.629016,0.657585,0.339344,0.394405,0.459507,0.247592,0
0.212712,0.731291,0.356027,0.280687,0.561535,0.248683,0.683785,0.407572,0.547986,0.584358,0.483398,0.608842,0.532143,0.373771,0.730009,0.297491,1
